IDNAME,RA,Dec,z,LookbackTime,SFR,F500,Z_PHOT,F350,alpha250350,Z_SPEC,F250,NAME_IAU,FeatureType,FeatureName,FeatureZopt,FeatureZsubmm
G15.DR1.1,220.234848,-0.318378001,0.00576000009,0.0790472925,4.56824589,0.815995,-1.2478387382324545,2.148656,2.4985591588216365,0.00576,4.98054,HATLAS J144056.3-001906,-,,0.0,0.0
G15.DR1.100,217.15773,0.55318898,0.00534000015,0.0733049214,0.140275598,0.074387,0.5446709298415091,0.140981,1.303552713438994,0.00534,0.218598,HATLAS J142837.8+003311,-,,0.0,0.0
G15.DR1.10002,217.369873,-0.379821002,0.561653972,5.4528141,141.967865,0.02670482,1.8936348056213594,0.03240636,0.4042434629190937,-99.0,0.037128,HATLAS J142928.7-002247,-,,0.0,0.0
G15.DR1.10003,213.18634,-0.433268011,1.27636242,8.72481728,1062.42725,0.021091,1.2446260435371537,0.038131,0.836915970975231,-99.0,0.050533,HATLAS J141244.7-002559,-,,0.0,0.0
G15.DR1.10005,215.103867,0.0199609995,1.68827891,9.77443218,1524.57397,0.02092228,1.6760114597377873,0.03141185,0.5493256935081418,-99.0,0.037789,HATLAS J142024.9+000111,-,,0.0,0.0
G15.DR1.10007,214.935776,-0.487406999,0.472346991,4.82395029,98.177475,0.00657443,-1.3146612838051386,0.01529036,2.543107522536759,-99.0,0.035978,HATLAS J141944.5-002914,-,,0.0,0.0
G15.DR1.10008,221.822067,-0.730702996,0.443749994,4.60762644,118.876823,-7.8e-05,-0.12221530080533105,0.027297,1.7481435338702207,0.44375,0.049155,HATLAS J144717.2-004350,-,,0.0,0.0
G15.DR1.10009,213.725403,1.32770002,0.194989994,2.35751414,18.1213665,-0.0028357,-2.479141575690572,0.01188635,3.319427717127048,0.19499,0.036317,HATLAS J141454.0+011939,-,,0.0,0.0
G15.DR1.1001,213.263306,-0.654618025,0.406619847,4.3151207,209.884735,0.030927,-1.1496698075248473,0.045474,2.4331132050165647,-99.0,0.103112,HATLAS J141303.1-003916,-,,0.0,0.0
G15.DR1.10010,219.21344,-0.618619025,1.55129802,9.46806622,1647.05334,0.026845,1.199061246622679,0.037322,0.8672925022515472,-99.0,0.049969,HATLAS J143651.2-003707,-,,0.0,0.0
G15.DR1.10018,218.31163,1.16261995,1.88244569,10.1515131,2417.93555,0.025876,2.6407107720261602,0.047376,-0.09380718135077357,-99.0,0.045904,HATLAS J143314.7+010945,-,,0.0,0.0
G15.DR1.100212,219.008347,1.33860803,4.305511,12.2668419,14181.2393,0.03615095,3.548751384438153,0.02545634,-0.6991675896254353,-99.0,0.02012,HATLAS J143602.0+012018,-,,0.0,0.0
G15.DR1.10022,219.972946,-0.362414986,0.112520002,1.43579769,8.07162094,0.01915,0.32295934825456785,0.028751,1.4513604344969548,0.11252,0.046853,HATLAS J143953.5-002144,-,,0.0,0.0
G15.DR1.10023,216.087784,0.364942014,0.450910985,4.6625247,119.056282,0.009366,0.9009862767127985,0.03349,1.0660091488581342,-99.0,0.047939,HATLAS J142421.0+002153,-,,0.0,0.0
G15.DR1.10025,212.826828,0.564140975,0.746367574,6.55963659,334.690155,0.011637,0.5165469790528965,0.031924,1.3223020139647357,0.26135,0.049813,HATLAS J141118.4+003350,-,,0.0,0.0
G15.DR1.10026,214.621292,-0.492071986,0.379339993,4.09141159,66.9381866,0.00574608,0.2633402347359146,0.02275616,1.491106510176057,0.37934,0.037583,HATLAS J141829.1-002931,-,,0.0,0.0
G15.DR1.10027,218.364578,0.725989997,0.153909996,1.91105592,15.2073307,-0.001854,-2.6984953676386194,0.014963,3.4656635784257466,0.15391,0.048023,HATLAS J143327.4+004333,-,,0.0,0.0
G15.DR1.10028,221.167603,0.507848978,1.81853712,10.0340681,1911.53198,0.02448263,1.420301340603989,0.0310273,0.7197991062640073,-99.0,0.03953,HATLAS J144440.2+003028,-,,0.0,0.0
G15.DR1.10033,218.612,1.04924405,1.58796585,9.55369568,1719.38062,0.025115,1.7268336186448863,0.041509,0.5154442542367424,-99.0,0.04937,HATLAS J143426.8+010257,-,,0.0,0.0
G15.DR1.10034,212.137802,0.141178995,0.244379997,2.86326051,37.1354408,0.014534,0.4219369510298896,0.030214,1.3853753659800736,0.24438,0.048156,HATLAS J140833.0+000828,-,,0.0,0.0
G15.DR1.10038,213.342651,0.206308007,0.600631773,5.70677662,203.794235,0.011178,0.014650493908742401,0.026843,1.656899670727505,-99.0,0.046876,HATLAS J141322.2+001222,-,,0.0,0.0
G15.DR1.1004,220.019669,0.763191998,0.554609001,5.40563011,276.523193,0.01635,-0.775210246111083,0.035585,2.183473497407389,-99.0,0.074188,HATLAS J144004.7+004547,-,,0.0,0.0
G15.DR1.10041,221.692764,-0.847826004,1.81325924,10.024107,2328.052,0.02804,2.039504933334168,0.043733,0.30699671111055454,-99.0,0.048492,HATLAS J144646.2-005052,-,,0.0,0.0
G15.DR1.10043,217.410721,-0.744485974,0.634221971,5.91641855,219.586685,0.028753,1.602451649485432,0.037026,0.598365567009712,-99.0,0.045284,HATLAS J142938.5-004440,-,,0.0,0.0
G15.DR1.10044,215.072449,-0.114582002,1.89424968,10.1725531,1958.12122,0.02190115,2.2186360366079794,0.03436141,0.1875759755946803,-99.0,0.0366,HATLAS J142017.3-000652,-,,0.0,0.0
G15.DR1.10046,220.148346,-0.463414997,0.541191816,5.31467581,171.122971,0.002374,-0.2987572899287634,0.025737,1.8658381932858423,0.5411918,0.048218,HATLAS J144035.6-002748,-,,0.0,0.0
G15.DR1.10047,220.454529,0.625001013,2.83026123,11.3649397,5695.15869,0.03388014,2.811861726569191,0.03854529,-0.20790781771279404,-99.0,0.035941,HATLAS J144149.0+003730,-,,0.0,0.0
G15.DR1.10051,220.400253,1.43254006,0.756888986,6.61584425,254.674789,-0.0001280917398184458,-4.506197861145953,0.00766734,4.670798574097302,-99.0,0.036913,HATLAS J144136.0+012557,-,,0.0,0.0
