IDNAME,RA,Dec,z,LookbackTime,SFR,F250,NAME_IAU,Feature
G15.DR1.1,220.234848,-0.318378001,0.00576000009,0.0790472925,4.56824589,4.98054,HATLAS J144056.3-001906,-
G15.DR1.100,217.15773,0.55318898,0.00534000015,0.0733049214,0.140275598,0.218598,HATLAS J142837.8+003311,-
G15.DR1.10002,217.369873,-0.379821002,0.561653972,5.4528141,141.967865,0.037128,HATLAS J142928.7-002247,-
G15.DR1.10003,213.18634,-0.433268011,1.27636242,8.72481728,1062.42725,0.050533,HATLAS J141244.7-002559,-
G15.DR1.10005,215.103867,0.0199609995,1.68827891,9.77443218,1524.57397,0.037789,HATLAS J142024.9+000111,-
G15.DR1.10007,214.935776,-0.487406999,0.472346991,4.82395029,98.177475,0.035978,HATLAS J141944.5-002914,-
G15.DR1.10008,221.822067,-0.730702996,0.443749994,4.60762644,118.876823,0.049155,HATLAS J144717.2-004350,-
G15.DR1.10009,213.725403,1.32770002,0.194989994,2.35751414,18.1213665,0.036317,HATLAS J141454.0+011939,-
G15.DR1.1001,213.263306,-0.654618025,0.406619847,4.3151207,209.884735,0.103112,HATLAS J141303.1-003916,-
G15.DR1.10010,219.21344,-0.618619025,1.55129802,9.46806622,1647.05334,0.049969,HATLAS J143651.2-003707,-
G15.DR1.10018,218.31163,1.16261995,1.88244569,10.1515131,2417.93555,0.045904,HATLAS J143314.7+010945,-
G15.DR1.100212,219.008347,1.33860803,4.305511,12.2668419,14181.2393,0.02012,HATLAS J143602.0+012018,-
G15.DR1.10022,219.972946,-0.362414986,0.112520002,1.43579769,8.07162094,0.046853,HATLAS J143953.5-002144,-
G15.DR1.10023,216.087784,0.364942014,0.450910985,4.6625247,119.056282,0.047939,HATLAS J142421.0+002153,-
G15.DR1.10025,212.826828,0.564140975,0.746367574,6.55963659,334.690155,0.049813,HATLAS J141118.4+003350,-
G15.DR1.10026,214.621292,-0.492071986,0.379339993,4.09141159,66.9381866,0.037583,HATLAS J141829.1-002931,-
G15.DR1.10027,218.364578,0.725989997,0.153909996,1.91105592,15.2073307,0.048023,HATLAS J143327.4+004333,-
G15.DR1.10028,221.167603,0.507848978,1.81853712,10.0340681,1911.53198,0.03953,HATLAS J144440.2+003028,-
G15.DR1.10033,218.612,1.04924405,1.58796585,9.55369568,1719.38062,0.04937,HATLAS J143426.8+010257,-
G15.DR1.10034,212.137802,0.141178995,0.244379997,2.86326051,37.1354408,0.048156,HATLAS J140833.0+000828,-
G15.DR1.10038,213.342651,0.206308007,0.600631773,5.70677662,203.794235,0.046876,HATLAS J141322.2+001222,-
G15.DR1.1004,220.019669,0.763191998,0.554609001,5.40563011,276.523193,0.074188,HATLAS J144004.7+004547,-
G15.DR1.10041,221.692764,-0.847826004,1.81325924,10.024107,2328.052,0.048492,HATLAS J144646.2-005052,-
G15.DR1.10043,217.410721,-0.744485974,0.634221971,5.91641855,219.586685,0.045284,HATLAS J142938.5-004440,-
G15.DR1.10044,215.072449,-0.114582002,1.89424968,10.1725531,1958.12122,0.0366,HATLAS J142017.3-000652,-
G15.DR1.10046,220.148346,-0.463414997,0.541191816,5.31467581,171.122971,0.048218,HATLAS J144035.6-002748,-
G15.DR1.10047,220.454529,0.625001013,2.83026123,11.3649397,5695.15869,0.035941,HATLAS J144149.0+003730,-
